0.04 1 0.952729 0.921714 0.419138 517 4011 47
0.04 1 0.944346 0.92521 0.437106 517 4011 40
0.04 1 0.944148 1.53524 0.570512 1011 4292 38
0.04 1 0.948708 1.22381 0.489714 755 4039 45
0.04 1 0.944105 1.40811 0.538178 901 3874 43
0.04 1 0.945232 1.12701 0.454989 674 3940 46
0.04 1 0.944357 1.30079 0.526495 814 4325 30
0.04 1 0.950139 1.52008 0.547036 1003 4084 36
0.04 1 0.95001 1.21682 0.520063 759 4039 40
0.04 1 0.951466 0.95438 0.465812 537 4169 32
0.04 1 0.937291 1.22498 0.490099 747 3933 50
0.04 1 0.942232 1.01852 0.468088 593 4224 30
0.04 1 0.946341 1.21215 0.506678 750 4136 38
0.04 1 0.94372 1.22381 0.498107 753 4212 39
0.04 1 0.946798 0.950873 0.42369 534 3796 40
0.04 1 0.937855 1.02552 0.437902 591 3923 44
0.04 1 0.942857 1.30079 0.482475 818 4172 46
0.04 1 0.942421 1.29963 0.522116 815 4028 28
0.04 1 0.949377 1.06868 0.462135 620 4224 35
0.04 1 0.943601 1.37311 0.535007 872 3702 50
0.04 1 0.941061 1.21565 0.456388 747 3965 50
0.04 1 0.939543 0.928718 0.442161 517 4056 35
0.04 1 0.932954 0.95787 0.43929 532 4044 49
0.04 1 0.946474 1.21798 0.515392 761 4191 32
0.04 1 0.947223 1.29263 0.544099 812 4321 33
0.04 1 0.947742 1.43843 0.57389 918 4080 35
0.04 1 0.939 0.934544 0.45933 517 4122 43
0.04 1 0.942459 1.2483 0.522626 772 4094 33
0.04 1 0.947047 1.24597 0.526417 767 4032 37
0.04 1 0.94767 1.4186 0.55971 913 3919 33
0.04 1 0.953286 1.43027 0.564664 921 4133 32
0.04 1 0.946633 1.02435 0.430752 593 4012 45
0.04 1 0.947993 1.12234 0.472049 671 4114 39
0.04 1 0.940516 1.3906 0.527456 890 4051 44
0.04 1 0.954473 1.22498 0.4725 764 3993 45
0.04 1 0.946974 1.11534 0.479031 674 4042 38
0.04 1 0.951002 1.71254 0.638196 1148 4231 30
0.04 1 0.949822 1.31245 0.562608 831 3990 29
0.04 1 0.950059 1.4291 0.560829 911 4071 33
0.04 1 0.942649 1.21215 0.471168 742 4098 50
0.04 1 0.946298 1.57374 0.545654 1051 3949 44
0.04 1 0.941767 1.02085 0.435499 581 3940 36
0.04 1 0.93912 1.29379 0.523608 807 3894 43
0.04 1 0.949052 1.33695 0.495147 856 4071 35
0.04 1 0.945462 0.9742 0.435289 550 3872 46
0.04 1 0.949734 1.08618 0.472711 646 3885 41
0.04 1 0.946985 1.21682 0.48649 755 3798 48
0.04 1 0.940252 1.20981 0.460846 738 3902 48
0.04 1 0.950099 1.35095 0.552547 854 4227 38
0.04 1 0.944181 1.3078 0.514472 828 4127 35
0.04 1 0.943374 1.26114 0.479295 782 3985 38
0.04 1 0.950356 1.5399 0.56287 1020 4114 33
